;docid;docnumber;docdate;parent;request;date;hour;name;federal_district;region_with_type;city;timezone;lat;lon;local_time
1969;443809;З-00932;2023-08-03 07:37:01.419062+03:00;0;1023801748761;2023-08-03;7;ФГБОУ ВО ИРГУПС;Сибирский;Иркутская обл;Иркутск;UTC+8;52.2706224;104.2610916;2023-08-03 12:37:01.419062+08:00
1970;458244;З-01399;2023-09-04 09:05:02.137298+03:00;0;1025402485580;2023-09-04;9;"ГБПОУ НСО ""НОВОСИБИРСКИЙ АВИАЦИОННЫЙ ТЕХНИЧЕСКИЙ КОЛЛЕДЖ ИМЕНИ Б.С. ГАЛУЩАКА""; ГБПОУ НСО ""НАТК ИМ. Б.С. ГАЛУЩАКА""";Сибирский;Новосибирская обл;Новосибирск;UTC+7;55.0440229;82.9173623;2023-09-04 13:05:02.137298+07:00
1971;443917;ОП-З-00932-001;2023-08-03 10:40:08.571617+03:00;443809;1023801748761;2023-08-03;10;ФГБОУ ВО ИРГУПС;Сибирский;Иркутская обл;Иркутск;UTC+8;52.2706224;104.2610916;2023-08-03 15:40:08.571617+08:00
1972;448977;О-З-01057-001;2023-08-17 11:22:01.605824+03:00;447281;1025100653687;2023-08-17;11;"ГАПОУ МО ""СКФКИС""";Северо-Западный;Мурманская обл;Мончегорск;UTC+3;67.9386153;32.9359719;2023-08-17 11:22:01.605824+03:00
1973;449015;ОП-З-01057-002;2023-08-17 11:28:23.967594+03:00;447281;1025100653687;2023-08-17;11;"ГАПОУ МО ""СКФКИС""";Северо-Западный;Мурманская обл;Мончегорск;UTC+3;67.9386153;32.9359719;2023-08-17 11:28:23.967594+03:00
1974;458294;ОП-З-01396-001;2023-09-04 09:24:09.548199+03:00;458195;1025401011680;2023-09-04;9;"ФГБОУ ВО ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ"" ФГБОУ ВО СГУПС СГУПС";Сибирский;Новосибирская обл;Новосибирск;UTC+7;55.0656213;82.9265855;2023-09-04 13:24:09.548199+07:00
1975;444387;ОП-З-00962-001;2023-08-04 09:28:41.527807+03:00;444376;1025300993838;2023-08-04;9;"ОГА ПОУ ""БОРОВИЧСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""";Северо-Западный;Новгородская обл;Боровичи;UTC+3;58.3875001;33.9260661;2023-08-04 09:28:41.527807+03:00
1976;459203;ОП-З-01431-001;2023-09-04 12:45:41.188419+03:00;459005;1023201102572;2023-09-04;12;ГАПОУ БТЭИР ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА М.А.АФАНАСЬЕВА;Центральный;Брянская обл;Брянск;UTC+3;53.2789694;34.3940496;2023-09-04 12:45:41.188419+03:00
1977;457433;ОП-З-01378-001;2023-09-01 09:50:36.652185+03:00;457329;1036300667534;2023-09-01;9;"ГАПОУ ""СГК""";Приволжский;Самарская обл;Самара;UTC+4;53.1871171;50.0961042;2023-09-01 10:50:36.652185+04:00
1978;449858;ОП-З-01121-001;2023-08-18 14:37:12.800740+03:00;449838;1025901702485;2023-08-18;14;"ГБПОУ ""БПТ""";Приволжский;Пермский край;Березники;UTC+5;59.4117243;56.786397;2023-08-18 16:37:12.800740+05:00
1979;443975;О-З-00936-001;2023-08-03 12:58:01.723200+03:00;443944;1026604939855;2023-08-03;12;"ФГАОУ ВО ""УРФУ ИМЕНИ ПЕРВОГО ПРЕЗИДЕНТА РОССИИ Б.Н. ЕЛЬЦИНА"", УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ УНИВЕРСИТЕТ, УРФУ, УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ УНИВЕРСИТЕТ ИМЕНИ ПЕРВОГО ПРЕЗИДЕНТА РОССИИ Б.Н. ЕЛЬЦИНА";Уральский;Свердловская обл;Екатеринбург;UTC+5;56.843987;60.653843;2023-08-03 14:58:01.723200+05:00
1980;481116;ОП-З-02054-001;2023-09-21 16:27:11.312833+03:00;480973;1022900540552;2023-09-21;16;"ГБПОУ АО ""АРХАНГЕЛЬСКИЙ ПЕДКОЛЛЕДЖ""";Северо-Западный;Архангельская обл;Архангельск;UTC+3;64.5317201;40.5672116;2023-09-21 16:27:11.312833+03:00
1981;468995;О-З-01378-005;2023-09-11 08:49:01.657878+03:00;457329;1036300667534;2023-09-11;8;"ГАПОУ ""СГК""";Приволжский;Самарская обл;Самара;UTC+4;53.1871171;50.0961042;2023-09-11 09:49:01.657878+04:00
1982;444490;ОП-З-00964-001;2023-08-04 10:47:24.759224+03:00;444432;1022701287652;2023-08-04;10;"ФГБОУ ВО ""ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ"", ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ, ФГБОУ ВО ДВГУПС, ДВГУПС";Дальневосточный;Хабаровский край;Хабаровск;UTC+10;48.4935882;135.0632905;2023-08-04 17:47:24.759224+10:00
1983;445605;ОП-З-01010-001;2023-08-08 14:54:42.272214+03:00;445594;1024800834255;2023-08-08;14;"ГОБПОУ ""ЛМСК""";Центральный;Липецкая обл;Липецк;UTC+3;52.5943138;39.5507024;2023-08-08 14:54:42.272214+03:00
1984;467451;ОП-З-01667-001;2023-09-08 09:23:26.886973+03:00;467428;1025300993838;2023-09-08;9;"ОГА ПОУ ""БОРОВИЧСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""";Северо-Западный;Новгородская обл;Боровичи;UTC+3;58.3875001;33.9260661;2023-09-08 09:23:26.886973+03:00
1985;461538;О-З-01496-001;2023-09-05 13:28:02.126728+03:00;461382;1155074010508;2023-09-05;13;"ГБПОУ МО ""ПОДОЛЬСКИЙ КОЛЛЕДЖ ИМЕНИ А.В. НИКУЛИНА""";Центральный;Московская обл;Подольск;UTC+3;55.4333813;37.5427342;2023-09-05 13:28:02.126728+03:00
1986;492203;З-02322;2023-10-05 11:28:02.201465+03:00;0;1081101006348;2023-10-05;11;"ГПОУ ""СГПК""";Северо-Западный;Респ Коми;Сыктывкар;UTC+3;61.6617579;50.8193671;2023-10-05 11:28:02.201465+03:00
1987;444804;ОП-З-00973-001;2023-08-04 15:34:53.995103+03:00;444767;1037800006089;2023-08-04;15;САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, САНКТ-ПЕТЕРБУРГСКИЙ УНИВЕРСИТЕТ ИЛИ СПБГУ;Северо-Западный;г Санкт-Петербург;Санкт-Петербург;UTC+3;59.94074;30.300246;2023-08-04 15:34:53.995103+03:00
1988;475480;О-З-01629-002;2023-09-15 01:49:02.017546+03:00;465989;1022701295011;2023-09-15;1;КГБ ПОУ ХТТТ;Дальневосточный;Хабаровский край;Хабаровск;UTC+10;48.4441749;135.1416054;2023-09-15 08:49:02.017546+10:00
1989;453014;ОП-З-00980-002;2023-08-28 10:19:40.609168+03:00;444931;1021500582278;2023-08-28;10;"ГБПОУ ""ВКЭ""";Северо-Кавказский;Респ Северная Осетия - Алания;Владикавказ;UTC+3;43.0258051;44.7046603;2023-08-28 10:19:40.609168+03:00
1990;517891;ОП-З-03016-004;2023-11-15 16:32:24.541928+03:00;516766;1057747900143;2023-11-15;16;УРАЛЬСКИЙ ИНСТИТУТ ГПС МЧС РОССИИ;Уральский;Свердловская обл;Екатеринбург;UTC+5;56.8466706;60.6467496;2023-11-15 18:32:24.541928+05:00
1991;467894;О-З-01681-001;2023-09-08 11:57:01.789612+03:00;467744;1030203921076;2023-09-08;11;ГБПОУ УКРТБ;Приволжский;Респ Башкортостан;Уфа;UTC+5;54.716255;56.0146359;2023-09-08 13:57:01.789612+05:00
1992;454166;О-З-01020-003;2023-08-29 10:01:01.551604+03:00;445917;1027810232680;2023-08-29;10;"ГУАП,ФГАОУ ВО ГУАП,ФГАОУ ВО ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ"",САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ";Северо-Западный;г Санкт-Петербург;Санкт-Петербург;UTC+3;59.9294588;30.2966347;2023-08-29 10:01:01.551604+03:00
1993;444812;О-З-00973-001;2023-08-04 15:41:01.805537+03:00;444767;1037800006089;2023-08-04;15;САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, САНКТ-ПЕТЕРБУРГСКИЙ УНИВЕРСИТЕТ ИЛИ СПБГУ;Северо-Западный;г Санкт-Петербург;Санкт-Петербург;UTC+3;59.94074;30.300246;2023-08-04 15:41:01.805537+03:00
1994;463317;ОП-З-01551-001;2023-09-06 11:25:32.363643+03:00;463285;1026900570201;2023-09-06;11;"ГБП ОУ ""ТВЕРСКОЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""";Центральный;Тверская обл;Тверь;UTC+3;56.8247293;35.8982974;2023-09-06 11:25:32.363643+03:00
